,Angles,Phase,Correction
93,"[0, 167, 158, 0, 179, 13, 179, 180]",0,0
94,"[0, 169, 165, 0, 180, 13, 179, 179]",0,0
95,"[0, 170, 165, 0, 180, 13, 179, 179]",0,0
96,"[1, 170, 168, 0, 180, 13, 179, 179]",0,0
97,"[1, 170, 170, 0, 180, 13, 179, 179]",0,0
98,"[1, 172, 171, 0, 180, 13, 179, 179]",0,0
99,"[1, 172, 172, 0, 180, 13, 179, 179]",1,0
0,"[1, 172, 172, 0, 180, 13, 179, 179]",1,0
101,"[1, 172, 173, 0, 180, 13, 179, 179]",1,0
102,"[1, 172, 173, 0, 179, 13, 179, 179]",1,0
103,"[2, 171, 174, 0, 179, 13, 179, 179]",1,0
104,"[2, 171, 174, 0, 179, 13, 179, 179]",1,0
105,"[2, 171, 173, 0, 179, 13, 179, 178]",1,0
106,"[2, 171, 173, 0, 179, 13, 179, 178]",1,0
107,"[2, 171, 173, 0, 179, 13, 179, 178]",1,0
108,"[2, 171, 173, 0, 179, 13, 179, 178]",1,0
109,"[2, 171, 173, 0, 179, 13, 179, 178]",1,0
110,"[2, 172, 173, 0, 179, 13, 179, 178]",1,0
111,"[2, 172, 173, 0, 179, 13, 179, 178]",1,0
112,"[2, 172, 173, 0, 179, 13, 179, 178]",1,0
113,"[2, 173, 173, 0, 179, 13, 179, 178]",1,0
114,"[2, 173, 173, 0, 179, 13, 179, 178]",1,0
115,"[2, 173, 173, 0, 179, 13, 179, 178]",1,0
116,"[2, 173, 173, 0, 179, 13, 179, 178]",1,0
117,"[2, 173, 173, 0, 179, 13, 179, 178]",1,0
118,"[2, 174, 174, 0, 179, 13, 179, 178]",1,0
119,"[2, 174, 174, 0, 179, 13, 178, 178]",1,0
120,"[2, 174, 174, 0, 179, 13, 178, 178]",1,0
121,"[2, 174, 174, 0, 179, 13, 178, 178]",1,0
122,"[2, 174, 174, 0, 179, 13, 178, 178]",1,0
123,"[2, 174, 174, 0, 179, 13, 178, 178]",1,0
124,"[2, 174, 174, 0, 179, 13, 178, 178]",1,0
125,"[2, 174, 174, 0, 179, 13, 178, 178]",1,0
126,"[2, 174, 174, 0, 179, 13, 178, 178]",1,0
127,"[2, 175, 174, 0, 179, 13, 178, 178]",1,0
128,"[2, 175, 174, 0, 179, 13, 178, 179]",1,0
129,"[2, 175, 174, 0, 179, 13, 178, 179]",1,0
130,"[2, 175, 175, 0, 179, 13, 179, 179]",1,0
131,"[2, 175, 175, 0, 179, 13, 179, 179]",1,0
132,"[2, 175, 175, 0, 179, 13, 178, 179]",1,0
133,"[2, 175, 175, 0, 179, 13, 178, 179]",1,0
134,"[2, 175, 175, 0, 179, 13, 178, 179]",1,0
135,"[2, 175, 175, 0, 179, 13, 178, 179]",1,0
136,"[2, 175, 175, 0, 179, 13, 179, 179]",1,0
137,"[2, 175, 175, 0, 179, 13, 179, 179]",1,0
138,"[2, 175, 175, 0, 179, 13, 179, 179]",1,0
139,"[2, 175, 175, 0, 179, 13, 179, 179]",1,0
140,"[2, 175, 175, 0, 179, 13, 179, 179]",1,0
141,"[2, 175, 175, 0, 179, 13, 179, 179]",1,0
142,"[2, 175, 175, 0, 179, 13, 179, 179]",1,0
143,"[2, 174, 175, 0, 179, 13, 179, 179]",1,0
144,"[2, 174, 175, 0, 179, 13, 179, 179]",1,0
145,"[2, 173, 175, 0, 179, 13, 179, 179]",1,0
146,"[2, 173, 175, 0, 179, 13, 179, 178]",1,0
147,"[2, 172, 175, 0, 179, 13, 179, 178]",1,0
148,"[2, 172, 174, 0, 179, 13, 179, 178]",1,0
149,"[2, 171, 174, 0, 179, 13, 179, 178]",0,0
150,"[2, 170, 173, 0, 179, 13, 179, 178]",0,0
151,"[2, 169, 173, 0, 179, 13, 179, 178]",0,0
152,"[2, 168, 173, 0, 179, 13, 179, 178]",0,0
153,"[2, 165, 172, 0, 179, 13, 179, 178]",0,0
154,"[2, 164, 171, 0, 179, 13, 179, 178]",0,0
155,"[2, 163, 170, 0, 179, 12, 179, 178]",0,0
156,"[2, 156, 163, 0, 179, 12, 179, 178]",0,0
157,"[2, 139, 152, 0, 179, 12, 179, 178]",0,0
158,"[2, 114, 127, 0, 179, 12, 179, 178]",0,0
159,"[2, 77, 72, 0, 179, 12, 179, 178]",0,0
160,"[2, 50, 46, 0, 179, 12, 179, 178]",0,0
161,"[2, 35, 32, 0, 179, 12, 179, 178]",0,0
162,"[2, 24, 28, 0, 179, 12, 179, 178]",0,0
163,"[2, 18, 23, 0, 179, 12, 179, 178]",0,0
164,"[2, 15, 19, 0, 179, 12, 179, 178]",2,0
165,"[2, 13, 14, 0, 178, 13, 179, 178]",2,0
166,"[2, 12, 12, 0, 178, 13, 179, 178]",2,0
167,"[2, 11, 11, 0, 178, 13, 179, 178]",2,0
168,"[2, 11, 10, 0, 178, 13, 179, 178]",2,0
169,"[2, 10, 9, 0, 178, 13, 179, 178]",2,0
170,"[2, 9, 9, 0, 178, 13, 179, 178]",2,0
171,"[2, 8, 8, 0, 178, 13, 179, 178]",2,0
172,"[2, 8, 8, 0, 178, 13, 179, 178]",2,0
173,"[3, 8, 8, 0, 178, 13, 179, 178]",2,0
174,"[3, 8, 8, 0, 178, 13, 179, 178]",2,0
175,"[3, 8, 8, 0, 178, 13, 179, 178]",2,0
176,"[3, 8, 8, 0, 178, 13, 179, 178]",2,0
177,"[3, 8, 8, 0, 179, 13, 179, 178]",2,0
178,"[3, 8, 8, 0, 179, 13, 179, 178]",2,0
179,"[3, 8, 8, 0, 179, 13, 179, 178]",2,0
180,"[3, 8, 8, 0, 179, 13, 179, 178]",2,0
181,"[3, 8, 8, 0, 179, 13, 179, 178]",2,0
182,"[3, 8, 9, 0, 179, 13, 179, 178]",2,0
183,"[4, 8, 9, 0, 178, 13, 179, 178]",2,0
184,"[4, 8, 9, 0, 178, 13, 179, 178]",2,0
185,"[4, 8, 9, 0, 178, 13, 179, 178]",2,0
186,"[4, 8, 9, 0, 178, 13, 179, 178]",2,0
187,"[4, 8, 9, 0, 178, 13, 179, 178]",2,0
188,"[4, 8, 9, 0, 178, 13, 179, 178]",2,0
189,"[4, 8, 9, 0, 178, 13, 179, 178]",2,0
190,"[4, 8, 9, 0, 178, 13, 179, 179]",2,0
191,"[4, 8, 9, 0, 178, 13, 179, 178]",2,0
192,"[4, 8, 9, 0, 178, 13, 179, 178]",2,0
193,"[4, 8, 9, 0, 178, 13, 179, 178]",2,0
194,"[4, 8, 9, 0, 178, 13, 179, 178]",2,0
195,"[3, 9, 9, 0, 179, 13, 179, 178]",2,0
196,"[3, 10, 10, 0, 179, 13, 179, 178]",2,0
197,"[3, 10, 10, 0, 179, 13, 179, 178]",2,0
198,"[3, 12, 11, 0, 179, 13, 179, 178]",2,0
199,"[3, 13, 12, 0, 179, 13, 179, 178]",2,0
0,"[3, 14, 13, 0, 179, 13, 179, 178]",2,0
201,"[2, 15, 15, 0, 179, 13, 179, 178]",2,0
202,"[2, 17, 16, 0, 179, 13, 179, 178]",2,0
203,"[2, 18, 18, 0, 179, 13, 179, 178]",2,0
204,"[2, 19, 20, 0, 179, 13, 179, 178]",0,0
205,"[1, 22, 20, 0, 179, 13, 179, 178]",0,0
206,"[1, 27, 25, 0, 179, 13, 179, 178]",0,90
207,"[1, 33, 39, 0, 179, 13, 179, 178]",0,90
208,"[1, 51, 66, 0, 179, 13, 179, 178]",0,0
209,"[2, 85, 96, 0, 179, 13, 179, 178]",0,0
210,"[2, 129, 131, 0, 179, 13, 179, 179]",0,0
211,"[2, 155, 154, 0, 179, 12, 179, 179]",0,0
212,"[2, 165, 163, 0, 179, 12, 179, 179]",0,0
213,"[2, 168, 167, 0, 179, 12, 179, 179]",0,0
214,"[2, 168, 169, 0, 179, 13, 179, 179]",0,0
215,"[2, 169, 169, 0, 179, 13, 179, 179]",0,0
216,"[2, 170, 171, 0, 179, 13, 179, 179]",0,0
217,"[2, 171, 172, 0, 179, 13, 179, 179]",0,0
218,"[2, 171, 173, 0, 179, 13, 179, 179]",0,0
219,"[2, 172, 173, 0, 179, 13, 179, 179]",0,0
220,"[2, 172, 174, 0, 179, 13, 179, 178]",0,0
221,"[3, 172, 174, 0, 179, 13, 179, 178]",0,0
222,"[3, 172, 174, 0, 179, 13, 179, 178]",1,0
223,"[3, 172, 174, 0, 179, 13, 178, 178]",1,0
224,"[3, 172, 173, 0, 179, 13, 178, 178]",1,0
225,"[3, 172, 174, 0, 179, 13, 178, 178]",1,0
226,"[3, 172, 174, 0, 179, 13, 178, 178]",1,0
227,"[3, 173, 174, 0, 179, 13, 178, 178]",1,0
228,"[3, 173, 174, 0, 179, 13, 178, 178]",1,0
229,"[3, 173, 174, 0, 179, 13, 178, 178]",1,0
230,"[3, 173, 174, 0, 179, 13, 178, 178]",1,0
231,"[3, 173, 174, 0, 179, 13, 178, 178]",1,0
232,"[3, 173, 174, 0, 179, 13, 178, 178]",1,0
233,"[3, 174, 174, 0, 179, 13, 178, 178]",1,0
234,"[3, 174, 174, 0, 179, 13, 178, 178]",1,0
235,"[3, 174, 174, 0, 179, 13, 178, 178]",1,0
236,"[3, 174, 175, 0, 179, 13, 178, 178]",1,0
237,"[3, 174, 175, 0, 179, 13, 179, 178]",1,0
238,"[3, 174, 175, 0, 179, 13, 179, 178]",1,0
239,"[3, 174, 175, 0, 179, 13, 179, 178]",1,0
240,"[3, 174, 175, 0, 179, 13, 179, 178]",1,0
241,"[3, 175, 175, 0, 179, 13, 179, 178]",1,0
242,"[3, 175, 175, 0, 179, 13, 179, 179]",1,0
243,"[3, 175, 175, 0, 179, 13, 179, 179]",1,0
244,"[3, 175, 175, 0, 179, 13, 179, 179]",1,0
245,"[3, 175, 175, 0, 179, 13, 179, 179]",1,0
246,"[3, 175, 175, 0, 179, 13, 179, 179]",1,0
247,"[3, 175, 175, 0, 179, 13, 179, 179]",1,0
248,"[3, 175, 175, 0, 179, 14, 179, 179]",1,0
249,"[3, 175, 175, 0, 179, 13, 179, 179]",1,0
250,"[3, 175, 175, 0, 179, 14, 179, 179]",1,0
251,"[3, 175, 175, 0, 179, 14, 179, 179]",1,0
252,"[3, 175, 176, 0, 179, 14, 179, 179]",1,0
